Player,Pos,Age,CompT.Pass,AttemT.Pass,Comp%T.,CompL.Pass,AttTT,Cmp%TT
Manuel Neuer,GK,33,430,486,88.5,1272,1446,88
Joshua Kimmich,"DF,MF",24,732,880,83.2,2440,2847,85.7
Robert Lewandowski,FW,30,196,250,78.4,592,783,75.6
Thiago Alcántara,MF,28,760,832,91.3,1649,1840,89.6
Serge Gnabry,FW,24,318,385,82.6,883,1128,78.3
Alphonso Davies,DF,18,465,529,87.9,1585,1834,86.4
David Alaba,DF,27,536,593,90.4,2250,2478,90.8
Jérôme Boateng,DF,30,414,472,87.7,1532,1702,90
Thomas Müller,"MF,FW",29,249,333,74.8,1023,1359,75.3
Benjamin Pavard,DF,23,534,595,89.7,2208,2511,87.9
Kingsley Coman,FW,23,215,274,78.5,611,797,76.7
Leon Goretzka,MF,24,261,296,88.2,799,924,86.5
Philippe Coutinho,"MF,FW",27,254,330,77,709,867,81.8
Ivan Perišić,FW,30,144,192,75,448,632,70.9
Javi Martínez,"DF,MF",30,304,323,94.1,533,580,91.9
Corentin Tolisso,MF,24,238,270,88.1,506,579,87.4
Niklas Süle,DF,23,237,259,91.5,570,612,93.1
Lucas Hernández,DF,23,139,158,88,723,819,88.3
Álvaro Odriozola,DF,23,9,9,100,90,109,82.6
Joshua Zirkzee,FW,18,0,2,0,67,88,76.1
